Date,Day,Cases,NewCases,D%Cases,ActiveCases,Deaths,NewDeaths,D%Deaths,MortalityRate,Tests,        NewTests,D%Tests,Recovered,NewRecovered,D%Recovered,Hospitalized,NewHospitalized,D%Hospitalized
2020-03-24,21.0,416.0,21.0,1.0531645569620254,409.0,7.0,2.0,1.4,0.016826923076923076,7486.0,473.0,1.0674461713959789,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,22.0,558.0,142.0,1.3413461538461537,550.0,8.0,1.0,1.1428571428571428,0.014336917562724014,8040.0,554.0,1.0740048089767567,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,23.0,580.0,22.0,1.039426523297491,571.0,9.0,1.0,1.125,0.015517241379310345,9219.0,1179.0,1.1466417910447761,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,24.0,635.0,55.0,1.0948275862068966,624.0,11.0,2.0,1.2222222222222223,0.01732283464566929,10065.0,846.0,1.091767002928734,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,25.0,671.0,36.0,1.0566929133858267,655.0,16.0,5.0,1.4545454545454546,0.02384500745156483,10896.0,831.0,1.0825633383010431,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,26.0,852.0,181.0,1.2697466467958272,834.0,18.0,2.0,1.125,0.02112676056338028,12669.0,1773.0,1.1627202643171806,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,27.0,950.0,98.0,1.1150234741784038,926.0,24.0,6.0,1.3333333333333333,0.02526315789473684,13452.0,783.0,1.0618044044518116,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,28.0,1065.0,115.0,1.1210526315789473,1035.0,30.0,6.0,1.25,0.028169014084507043,14463.0,1011.0,1.0751561106155219,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,29.0,1323.0,258.0,1.2422535211267605,1276.0,47.0,17.0,1.5666666666666667,0.03552532123960695,15587.0,1124.0,1.0777155500241997,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,30.0,1414.0,91.0,1.0687830687830688,1359.0,55.0,8.0,1.1702127659574468,0.038896746817538894,16518.0,931.0,1.059729261564124,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,31.0,1595.0,181.0,1.128005657708628,1534.0,61.0,6.0,1.1090909090909091,0.03824451410658307,17334.0,816.0,1.0494006538321832,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,32.0,1746.0,151.0,1.0946708463949844,1673.0,73.0,12.0,1.1967213114754098,0.0418098510882016,17841.0,507.0,1.0292488750432676,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,33.0,2281.0,535.0,1.3064146620847652,1209.0,83.0,10.0,1.1369863013698631,0.03638754932047348,19410.0,1569.0,1.0879435009248362,989.0,989.0,989.0,0.0,0.0,0.0
2020-04-06,34.0,2561.0,280.0,1.122753178430513,1472.0,92.0,9.0,1.108433734939759,0.035923467395548615,20414.0,1004.0,1.0517259144770736,997.0,8.0,1.0080889787664307,0.0,0.0,0.0
2020-04-07,35.0,2954.0,393.0,1.1534556813744632,1616.0,107.0,15.0,1.1630434782608696,0.036222071767095465,21555.0,1141.0,1.055893014597825,1231.0,234.0,1.234704112337011,0.0,0.0,0.0
2020-04-08,36.0,4342.0,1388.0,1.4698713608666216,2888.0,121.0,14.0,1.1308411214953271,0.027867342238599723,39599.0,18044.0,1.83711435861749,1333.0,102.0,1.082859463850528,0.0,0.0,0.0
2020-04-09,37.0,5256.0,914.0,1.210502072777522,3680.0,138.0,17.0,1.140495867768595,0.026255707762557076,48465.0,8866.0,1.2238945427914847,1438.0,105.0,1.0787696924231058,0.0,0.0,0.0
2020-04-10,38.0,5897.0,641.0,1.1219558599695585,4159.0,169.0,31.0,1.2246376811594204,0.02865863998643378,56681.0,8216.0,1.1695243990508615,1569.0,131.0,1.0910987482614742,687.0,687.0,687.0
2020-04-11,39.0,6848.0,951.0,1.1612684415804646,4928.0,181.0,12.0,1.0710059171597632,0.02643107476635514,65712.0,9031.0,1.1593302870450415,1739.0,170.0,1.1083492670490758,788.0,101.0,1.1470160116448327
